,0
861,ENSG00000144161
862,ENSG00000170370
863,ENSG00000175592
864,ENSG00000185246
865,ENSG00000134259
866,ENSG00000188177
867,ENSG00000163694
868,ENSG00000184389
869,ENSG00000117525
870,ENSG00000121236
871,ENSG00000112739
872,ENSG00000100592
873,ENSG00000168675
874,ENSG00000005471
875,ENSG00000181001
876,ENSG00000204599
877,ENSG00000049759
878,ENSG00000158691
879,ENSG00000153253
880,ENSG00000175497
881,ENSG00000185666
882,ENSG00000129347
883,ENSG00000167741
884,ENSG00000205436
885,ENSG00000267796
886,ENSG00000110888
887,ENSG00000116754
888,ENSG00000256453
889,ENSG00000226979
890,ENSG00000088280
891,ENSG00000168769
892,ENSG00000122477
893,ENSG00000049192
894,ENSG00000172183
895,ENSG00000232810
896,ENSG00000146457
897,ENSG00000163795
898,ENSG00000187961
899,ENSG00000105939
900,ENSG00000186166
901,ENSG00000131584
902,ENSG00000173212
903,ENSG00000050344
904,ENSG00000187642
905,ENSG00000167595
906,ENSG00000096968
907,ENSG00000161010
908,ENSG00000056487
909,ENSG00000112659
910,ENSG00000132669
911,ENSG00000197261
912,ENSG00000053747
913,ENSG00000162461
914,ENSG00000177225
915,ENSG00000204305
916,ENSG00000185215
917,ENSG00000143390
918,ENSG00000089048
919,ENSG00000155287
920,ENSG00000188981
921,ENSG00000125845
922,ENSG00000100077
923,ENSG00000116990
924,ENSG00000180628
925,ENSG00000187608
926,ENSG00000128271
927,ENSG00000003987
928,ENSG00000145779
929,ENSG00000106785
930,ENSG00000164548
931,ENSG00000152484
932,ENSG00000173039
933,ENSG00000157873
934,ENSG00000100441
935,ENSG00000112343
936,ENSG00000213859
937,ENSG00000182896
938,ENSG00000185101
939,ENSG00000137776
940,ENSG00000171621
941,ENSG00000156983
942,ENSG00000081800
943,ENSG00000149218
944,ENSG00000240230
945,ENSG00000157741
946,ENSG00000140519
947,ENSG00000186812
948,ENSG00000105963
949,ENSG00000146350
950,ENSG00000139182
